domain,subject,body,label
paypal.com,Your receipt from your recent purchase,Your account settings have been updated as requested.,1
google.com,Order confirmation and shipping details,Your account settings have been updated as requested.,1
amazon.com,Your receipt from your recent purchase,Thank you for shopping with us. Your order has been placed.,1
apple.com,Your receipt from your recent purchase,Thank you for shopping with us. Your order has been placed.,1
amazon.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
amazon.com,Security update confirmation,Here is your invoice for the last billing cycle.,1
login-alert.biz,Suspicious login detected!,You've won a gift card! Claim it by clicking this link.,0
google.com,Invoice for your subscription,You successfully signed in from a new device.,1
secure-paypal.net,Reset your password immediately,Your account has been compromised. Change your password immediately.,0
microsoft.com,Your receipt from your recent purchase,Your account settings have been updated as requested.,1
apple.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
update-icloud.cn,Your payment failed. Click here!,You've won a gift card! Claim it by clicking this link.,0
amazon.com,Security update confirmation,You successfully signed in from a new device.,1
amaz0n-support.ru,Suspicious login detected!,Your email storage is full. Login now to avoid losing emails.,0
amaz0n-support.ru,Claim your reward before it expires,Your account has been compromised. Change your password immediately.,0
google.com,Order confirmation and shipping details,Your account settings have been updated as requested.,1
microsoft.com,Order confirmation and shipping details,Your account settings have been updated as requested.,1
paypal.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
google.com,Account login from new device,Your account settings have been updated as requested.,1
login-alert.biz,Reset your password immediately,Click the link below to verify your payment details.,0
google.com,Security update confirmation,You successfully signed in from a new device.,1
update-icloud.cn,Claim your reward before it expires,Your email storage is full. Login now to avoid losing emails.,0
amazon.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
amazon.com,Security update confirmation,Here is your invoice for the last billing cycle.,1
login-alert.biz,Your payment failed. Click here!,You've won a gift card! Claim it by clicking this link.,0
amazon.com,Account login from new device,Security updates have been applied to your account.,1
microsoft.com,Order confirmation and shipping details,Security updates have been applied to your account.,1
paypal.com,Order confirmation and shipping details,You successfully signed in from a new device.,1
login-alert.biz,URGENT: Confirm your account now,Click the link below to verify your payment details.,0
update-icloud.cn,Reset your password immediately,You've won a gift card! Claim it by clicking this link.,0
paypal.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
google.com,Your receipt from your recent purchase,Your account settings have been updated as requested.,1
microsoft.com,Account login from new device,Your account settings have been updated as requested.,1
login-alert.biz,Your payment failed. Click here!,You've won a gift card! Claim it by clicking this link.,0
update-icloud.cn,URGENT: Confirm your account now,Your account has been compromised. Change your password immediately.,0
amazon.com,Account login from new device,Security updates have been applied to your account.,1
login-alert.biz,Suspicious login detected!,Your account has been compromised. Change your password immediately.,0
login-alert.biz,Suspicious login detected!,Your account has been compromised. Change your password immediately.,0
paypal.com,Order confirmation and shipping details,You successfully signed in from a new device.,1
secure-paypal.net,Claim your reward before it expires,We noticed suspicious activity. Login now to secure your account.,0
amaz0n-support.ru,Suspicious login detected!,You've won a gift card! Claim it by clicking this link.,0
paypal.com,Invoice for your subscription,Here is your invoice for the last billing cycle.,1
paypal.com,Your receipt from your recent purchase,You successfully signed in from a new device.,1
paypal.com,Order confirmation and shipping details,Here is your invoice for the last billing cycle.,1
apple.com,Account login from new device,Thank you for shopping with us. Your order has been placed.,1
google.com,Order confirmation and shipping details,Security updates have been applied to your account.,1
accountsafe.live,Suspicious login detected!,We noticed suspicious activity. Login now to secure your account.,0
google.com,Your receipt from your recent purchase,Thank you for shopping with us. Your order has been placed.,1
update-icloud.cn,URGENT: Confirm your account now,Your email storage is full. Login now to avoid losing emails.,0
accountsafe.live,URGENT: Confirm your account now,Your account has been compromised. Change your password immediately.,0
accountsafe.live,URGENT: Confirm your account now,Click the link below to verify your payment details.,0
microsoft.com,Your receipt from your recent purchase,Security updates have been applied to your account.,1
google.com,Order confirmation and shipping details,Your account settings have been updated as requested.,1
microsoft.com,Account login from new device,Thank you for shopping with us. Your order has been placed.,1
amazon.com,Account login from new device,Security updates have been applied to your account.,1
amazon.com,Account login from new device,Security updates have been applied to your account.,1
apple.com,Order confirmation and shipping details,Thank you for shopping with us. Your order has been placed.,1
update-icloud.cn,Your payment failed. Click here!,Click the link below to verify your payment details.,0
update-icloud.cn,Suspicious login detected!,We noticed suspicious activity. Login now to secure your account.,0
paypal.com,Security update confirmation,Your account settings have been updated as requested.,1
amazon.com,Order confirmation and shipping details,Thank you for shopping with us. Your order has been placed.,1
paypal.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
microsoft.com,Invoice for your subscription,Here is your invoice for the last billing cycle.,1
google.com,Your receipt from your recent purchase,You successfully signed in from a new device.,1
update-icloud.cn,URGENT: Confirm your account now,Click the link below to verify your payment details.,0
secure-paypal.net,URGENT: Confirm your account now,Click the link below to verify your payment details.,0
paypal.com,Security update confirmation,You successfully signed in from a new device.,1
accountsafe.live,Suspicious login detected!,We noticed suspicious activity. Login now to secure your account.,0
secure-paypal.net,Reset your password immediately,Your email storage is full. Login now to avoid losing emails.,0
google.com,Account login from new device,Here is your invoice for the last billing cycle.,1
